Unnamed: 0,Risk Code,Risk Description,Control Code,Control Name,Control Description,Key,통제 주기,통제 유형,Auto,관련 정책,System,테스트 방법,Unnamed: 13,Unnamed: 14,Unnamed: 15,모집단 정의,"모집단
완전성 확인",모집단 개수,"샘플
사이즈",테스트 절차,오류의 정의
,R-01,IT 프로세스에 대한 정책이 수립되지 않을 위험 - ITGCs,PWC01,IT 정책서 관리,"1. 하기 영역에 대한 IT운영프로세스에 관한 정책이 IT정책서에 명시되어 있음
 - Access to programs and data
 - Changes to application Programs
 - Program Development
 - Computer Operations
2. IT정책서는 매년 경영정보팀장의 검토 및 승인을 득함
3. 검토된 IT정책서는 그룹웨어 게시판에 게시됨",Y,연간,예방,Manual,,공통,,V,,,매년 수행되는 IT운영 프로세스 관련 정책 검토의 건,연간 통제이므로 1건의 검토 및 보고내역이 완전한 것으로 판단함,1,1,"1. IT운영프로세스가 명시된 '운영보안 규정' 정책서를 입수함
2. 입수한 운영보안 규정상 제·개정 이력을 검토하고 매년 경영정보팀장의 검토 및 승인을 득하였는지 여부를 검토함
3.  검토 및 승인을 득한 운영보안 규정이 그룹웨어 내 문서관리-규정문서 항목상 전체 공지 되고 있는지 여부를 확인함","1. 매년 IT정책서가 검토되지 않은 경우
2. IT정책서의 제·개정 시 승인권자의 승인을 득하지 않은 경우
3. 최신 IT정책서가 그룹웨어를 통해 전 임직원에게 공유되지 않은 경우"
,R-02,시스템 사용자가 시스템에서 규정하는 승인과 업무분장을 우회 할 위험,APD01,Application 권한 승인,권한 요청에 대해 요청 부서장 또는 IT팀장 등 책임자의 승인을 득한다,Y,필요시,예방,Manual,,SAP,,V,,,SU01,"1. 시스템의 계정생성 및 권한부여이력 테이블 또는 화면을 식별함

2. 해당 테이블 또는 화면의 이력조회 Parameter에 아래의 조건을 입력함으로써 모집단의 완전성을 확보함
 - 계정생성 또는 권한부여일자 : 테스트 대상기간
 - ID생성, 권한 부여 및 변경 Case 포함",Event Driven,Event Driven,"아래의 순서에 따라 통제 테스트를 수행한다.

  1. 모집단에서 샘플을 추출한다.
  2. 추출된 샘플의 권한 요청서 작성 여부와 부서장 3등 책임권자의 승인 여부를 확인한다.
  3. 권한 요청 및 승인 완료 후 권한 부여가 수행되었는지 확인한다
    - 권한 요청서 작성/승인 일자 < 권한부여 일자","1. 권한부여 요청서가 작성되지 않은 경우
2. 승인권자의 승인 없이 권한이 부여된 경우"
,R-03,시스템 사용자가 시스템에서 규정하는 승인과 업무분장을 우회 할 위험,APD02,Application 부서이동자 권한 회수,전배 등 기존 권한에 대한 회수 사유 발생시 즉시 회수한다,Y,기타,예방,Manual,,공통,,V,,,부서이동 인사명령지,,Event Driven,Event Driven,"부서이동(전배)자의 기존 권한 회수 여부를 검토한다

  1. 모집단에서 샘플을 추출한다.
  2. 기존 권한의 회수 여부를 확인한다
    - 권한 회수 일자 < 부서이동(전배) 일자","1. 권한 자동 회수 프로그램, 배치 프로그램의 로직이 적절하게 설정되어 있지 않은경우

2. 부서이동자의 수동부여 권한이 발령등록일자 기준으로 자동회수되지 않은 경우"
,R-04,시스템 사용자가 시스템에서 규정하는 승인과 업무분장을 우회 할 위험,APD03,Application 퇴사자 접근권한 회수,퇴사 등 계정삭제(비활성화) 사유 발생시 시스템에 의해 계정이 자동 삭제(비활성화)된다,Y,기타,예방,Manual,,공통,,V,,,퇴사 인사명령지,,Event Driven,Event Driven,"Application 계정 삭제(비활성화)에 대해 아래와 같이 검토한다

  1. 권한회수 프로그램 Source에 Logic이 정확히 구현되어 있는지 확인한다
  2. 모집단(퇴사자)에서 임의의 샘플 1건을 추출하여 퇴사자 계정이 모두 삭제(비활성화)되었는지 확인한다",1. 퇴사자 계정이 회수되지 않은 경우
,R-05,시스템 사용자가 시스템에서 규정하는 승인과 업무분장을 우회 할 위험,APD04,Application 권한 Monitoring,전체 사용자가 보유한 권한에 대해 Monitoring이 수행되며 결과는 책임자에 의해 승인된다,Y,분기별,적발,Manual,,공통,,V,,,통제 주기별로 실시한 권한 모니터링 수행 및 보고 건,분기별 통제이기 때문에 4건의 검토 및 보고내역이 완전한 것으로 판단함,4,2,"권한 Monitoring 통제에 대해 아래와 같이 검토한다

  1. 모집단에서 샘플을 추출한다
  2. Application/서버(OS/DB)/VPN에 대해 보유권한 적정성이 검토되었는지 확인한다
  3. 승인권자의 승인 여부를 확인한다","1. 분기에 1회 Application 권한 모니터링이 수행되지 않은 경우
2. Application 권한 모니터링 결과 보고에 대하여 승인권자의 승인을 득하지 않은 경우"
,R-06,"위험하고 강력한 계정사용자가 (ex. Super User , Admin Account) 시스템에서 규정하는 승인과 업무분장을 우회 할 위험",APD05,Application 관리자 권한 제한,관리자 권한은 지정된 담당자로 제한된다,Y,기타,예방,Auto,,SAP,,V,,,SU01 권한 보유자,자동통제임에 따라 모집단의 완전성을 정의하지 않음,자동통제이므로 해당사항 없음.,자동통제이므로 해당사항 없음.,"1. 관리자 권한을 보유한 인원을 추출한다.
2. 해당 인원의 부서,직책, 직무 등을 검토하여 적절성 여부를 확인한다",1. 지정된 담당자 외 Super User 권한을 보유한 사용자가 존재하는 경우
,R-07,취약한 패스워드 정책이나 보안 설정으로 인해 시스템 접근 통제를 우회할 위험,APD06,Application 패스워드,"1. Application 패스워드는 최소 아래 기준 이상으로 설정함

 1) 복잡성: 문자, 숫자, 특수문자 포함
 2) 최소 길이: 8자리 이상",Y,기타,예방,Auto,IT정책서,SAP,,V,,V,패스워드 설정사항,자동통제임에 따라 모집단의 완전성을 정의하지 않음,자동통제이므로 해당사항 없음.,자동통제이므로 해당사항 없음.,"Application 패스워드 설정 내역을 검토하여 정책서와 상이한 부분이 존재하는지 확인한다

T-Code:SE38에서 RSPARAM 조회
  .login/min_password_lng: 최소자리
  .login/min_password_special: 특수문자
  .login/min_letters: 문자
  .login/min_digit: 숫자","Application 패스워드 환경설정이 아래 기준을 충족하지 않은 경우
 1) 복잡성: 문자, 숫자, 특수문자 포함
 2) 최소 길이: 8자리 이상
 3) 변경주기: 분기(3개월)"
,R-08,기본적인 거래정보나 마스터 마스터 데이터를 부적절하게 변경 할 위험,APD07,Data 변경 승인,데이터 직접 변경은 적절한 승인권자의 승인을 득한다,Y,필요시,예방,Manual,IT정책서,SAP,,V,,,데이터 변경 이력,"1. 데이터 변경 이력에서 완전성을 득함
- 대상 : 시스템 사용 운영 DB 전체
- 기간 : 테스트 대상 기간",Event driven,Event driven,"1. 데이터 변경 이력을 조회하고, 조회화면(조회 조건, 조회된 전체 데이터 수 확인 가능한 화면) 및 조회 결과를 문서화함 
2. 위의 1.에서 조회된 데이터 변경의 발생빈도에 따라 샘플 Guide의 샘플 수를 적용하여 샘플을 선정함
3. 샘플에 대하여 승인권자의 승인을 득하였는지 여부를 확인함","1. 데이터 변경요청서가 작성되지 않은 경우
2. 승인권자의 승인 없이 데이터 변경이 수행된 경우
3. 데이터 변경 요청 내역과 실제 변경 내역이 일치하지 않는 경우"
,R-09,인가받지 않은 DB 접근으로 인하여 기본적인 거래정보나 마스터 마스터 데이터가 부적절하게 변경 될 위험,APD08,Data 변경 권한 제한,데이터 변경 권한은 지정된 담당자로 제한된다,Y,기타,예방,Auto,,SAP,,V,,,데이터 변경 권한자 List,자동통제임에 따라 모집단의 완전성을 정의하지 않음,자동통제이므로 해당사항 없음.,자동통제이므로 해당사항 없음.,"1. 데이터 변경 권한을 보유한 인원을 추출한다.
2. 해당 인원의 부서, 직책, 직무 등을 검토하여 적절성 여부를 확인한다.",1. 지정된 담당자 외 사용자가 Data 변경 권한을 보유한 경우
,R-10,인가받지 않은 OS 접근으로 인하여 운영서버 상의 프로그램이 부적절하게 변경 될 위험,APD09,OS 접근권한 승인,OS에 접근권한은 적절한 승인권자의 승인을 득한 후 부여한다,Y,필요시,예방,Manual,IT정책서,,,V,,,OS 계정(ID) 접근권한 부여 이력,"1. 시스템의 OS 또는 OS접근제어툴에서 계정생성이력 테이블 또는 화면을 식별함

2. 해당 테이블 또는 화면의 이력조회 Parameter에 아래의 조건을 입력함으로써 모집단의 완전성을 확보함
 - 계정생성 일자 : 테스트 대상기간
 - 조회대상 : 시스템 OS",Event driven,Event driven,"1. 테스트 기간 동안 신규 부여된 OS 접근권한 목록을 조회하고, 조회화면 및 조회 결과를 문서화한다.
2. 위의 1.에서 조회된 모집단의 발생빈도에 따라 샘플 Guide의 샘플 수를 적용하여 샘플을 선정한다.
3. 샘플에 대하여 승인권자의 승인을 득하였는지 여부를 확인한다.","1. 계정생성 요청서가 작성되지 않은 경우
2. 승인권자의 승인 없이 신규계정이 생성된 경우"
