[ 1] 성호전자 | Score: 112.0 | Upside: 114.4% | PBR: 5.69 | ROE: 113.32% | Leader: True
[ 2] SK바이오팜 | Score: 103.52 | Upside: 68.8% | PBR: 7.39 | ROE: 46.52% | Leader: True
[ 3] SK하이닉스 | Score: 98.0 | Upside: 28.0% | PBR: 9.04 | ROE: 61.16% | Leader: True
[ 4] 파미셀 | Score: 95.45 | Upside: 60.0% | PBR: 6.64 | ROE: 38.45% | Leader: True
[ 5] 실리콘투 | Score: 88.96 | Upside: 68.8% | PBR: 4.61 | ROE: 44.96% | Leader: True
[ 6] 이크레더블 | Score: 88.95 | Upside: 47.2% | PBR: 5.18 | ROE: 40.95% | Leader: True
[ 7] 현대로템 | Score: 87.08 | Upside: 49.6% | PBR: 7.07 | ROE: 30.08% | Leader: True
[ 8] 한화에어로스페이스 | Score: 84.74 | Upside: 69.9% | PBR: 5.57 | ROE: 22.74% | Leader: True
[ 9] 코나아이 | Score: 82.64 | Upside: 93.2% | PBR: 2.71 | ROE: 38.64% | Leader: True
[10] 삼양식품 | Score: 81.95 | Upside: 62.9% | PBR: 6.21 | ROE: 37.95% | Leader: True
[11] 삼성전자 | Score: 81.16 | Upside: 35.7% | PBR: 4.48 | ROE: 19.16% | Leader: True
[12] SOOP | Score: 81.09 | Upside: 56.1% | PBR: 1.12 | ROE: 24.09% | Leader: True
[13] DB손해보험 | Score: 81.02 | Upside: 47.1% | PBR: 0.78 | ROE: 19.02% | Leader: True
[14] 파마리서치 | Score: 80.99 | Upside: 70.3% | PBR: 4.8 | ROE: 27.99% | Leader: True
[15] 메가스터디교육 | Score: 80.39 | Upside: 48.5% | PBR: 0.86 | ROE: 18.39% | Leader: True
[16] 한국콜마 | Score: 80.19 | Upside: 41.0% | PBR: 2.18 | ROE: 18.19% | Leader: True
[17] 메리츠금융지주 | Score: 80.05 | Upside: 35.9% | PBR: 1.68 | ROE: 23.05% | Leader: True
[18] 디케이티 | Score: 78.09 | Upside: 60.4% | PBR: 1.91 | ROE: 16.09% | Leader: True
[19] SNT에너지 | Score: 77.48 | Upside: 96.4% | PBR: 1.71 | ROE: 29.48% | Leader: True
[20] KCC | Score: 76.84 | Upside: 44.3% | PBR: 0.46 | ROE: 23.84% | Leader: True
[21] 효성 | Score: 76.53 | Upside: 84.9% | PBR: 1.22 | ROE: 14.53% | Leader: True
[22] 경동나비엔 | Score: 76.22 | Upside: 46.1% | PBR: 1.21 | ROE: 14.22% | Leader: True
[23] NC | Score: 76.0 | Upside: 42.3% | PBR: 1.45 | ROE: 14.0% | Leader: True
[24] 영원무역 | Score: 75.88 | Upside: 45.4% | PBR: 0.82 | ROE: 13.88% | Leader: True
[25] SK가스 | Score: 75.79 | Upside: 65.3% | PBR: 0.63 | ROE: 13.79% | Leader: True
[26] KT&G | Score: 75.25 | Upside: 15.9% | PBR: 2.1 | ROE: 13.25% | Leader: True
[27] 지역난방공사 | Score: 75.14 | Upside: 81.8% | PBR: 0.34 | ROE: 13.14% | Leader: True
[28] 인카금융서비스 | Score: 74.49 | Upside: 22.4% | PBR: 2.18 | ROE: 41.49% | Leader: False
[29] JYP Ent. | Score: 74.29 | Upside: 62.7% | PBR: 2.96 | ROE: 21.29% | Leader: True
[30] 금호타이어 | Score: 74.1 | Upside: 67.5% | PBR: 0.61 | ROE: 17.1% | Leader: True
[31] 기아 | Score: 73.9 | Upside: 36.3% | PBR: 1.05 | ROE: 11.9% | Leader: True
[32] 펄어비스 | Score: 73.85 | Upside: 77.7% | PBR: 2.63 | ROE: 16.85% | Leader: True
[33] 쏠리드 | Score: 72.97 | Upside: 113.7% | PBR: 2.05 | ROE: 15.97% | Leader: True
[34] 삼성바이오로직스 | Score: 72.56 | Upside: 60.9% | PBR: 7.56 | ROE: 19.56% | Leader: True
[35] NICE평가정보 | Score: 72.33 | Upside: 36.7% | PBR: 1.86 | ROE: 19.33% | Leader: True
[36] KB금융 | Score: 72.25 | Upside: 26.3% | PBR: 0.96 | ROE: 10.25% | Leader: True
[37] 한글과컴퓨터 | Score: 71.42 | Upside: 72.5% | PBR: 1.3 | ROE: 9.42% | Leader: True
[38] 한국타이어앤테크놀로지 | Score: 71.35 | Upside: 18.1% | PBR: 0.69 | ROE: 9.35% | Leader: True
[39] HJ중공업 | Score: 70.69 | Upside: 82.9% | PBR: 2.81 | ROE: 13.69% | Leader: True
[40] 현대그린푸드 | Score: 70.61 | Upside: 40.6% | PBR: 0.76 | ROE: 13.61% | Leader: True
[41] 나이스디앤비 | Score: 70.01 | Upside: 26.8% | PBR: 0.75 | ROE: 13.01% | Leader: True
[42] 에프엔에스테크 | Score: 69.36 | Upside: 39.2% | PBR: 1.85 | ROE: 12.36% | Leader: True
[43] 전진건설로봇 | Score: 69.25 | Upside: 19.8% | PBR: 5.44 | ROE: 21.25% | Leader: True
[44] HD현대중공업 | Score: 68.55 | Upside: 40.2% | PBR: 7.02 | ROE: 24.55% | Leader: True
[45] 한솔로지스틱스 | Score: 67.98 | Upside: 59.3% | PBR: 0.55 | ROE: 10.98% | Leader: True
[46] F&F | Score: 67.82 | Upside: 15.0% | PBR: 1.63 | ROE: 28.82% | Leader: True
